supplier_id,disruption_exposure_rank,risk_category,supplier_priority_score,affected_parts,critical_parts_affected,single_source_parts,procurement_value_exposed,critical_procurement_value_exposed,average_daily_consumption,total_backorder,total_blocked_quantity,recommended_action,recommendation_urgency,recommendation_rationale
SUP013,1,Critical,75.1125,13,3,13,15020893.01,4216513.82,148.35897435897436,26,396,Immediate alternate-source qualification for critical parts,Immediate,High disruption exposure combined with multiple critical parts and single-source dependence.
SUP036,2,High,50.45,8,4,8,17481523.419999998,7051419.81,122.1346153846154,23,237,Immediate alternate-source qualification for critical parts,Immediate,High disruption exposure combined with multiple critical parts and single-source dependence.
SUP027,3,Critical,68.35,11,0,11,33795816.58,0.0,187.40384615384616,38,604,Develop inventory and supply continuity contingency plan,High,High disruption exposure coincides with high daily consumption.
SUP040,4,High,65.6875,11,1,11,15768879.02,1662792.86,156.58333333333334,20,390,Develop inventory and supply continuity contingency plan,High,High disruption exposure coincides with high daily consumption.
SUP008,4,High,56.337500000000006,6,2,6,23216159.32,5084413.5,83.64102564102564,216,112,Immediate alternate-source qualification for critical parts,Immediate,High disruption exposure combined with multiple critical parts and single-source dependence.
SUP038,6,High,64.85,8,1,8,31204412.22,559208.63,150.57051282051282,0,274,Review procurement concentration and supply continuity options,Medium,High procurement value is exposed if the supplier becomes unavailable.
SUP014,7,Critical,71.0125,9,2,9,13304583.36,1645127.16,122.8525641025641,5,247,Qualify alternate suppliers for critical parts,High,Multiple critical parts are exposed and the affected parts are single-source.
SUP006,8,High,64.3125,10,0,10,21451420.65,0.0,149.00641025641025,0,611,Initiate supplier corrective action and operational recovery review,High,Elevated blocked quantity or backorder exposure indicates operational disruption.
SUP034,9,High,54.575,7,2,7,11953921.12,4706223.5,73.67307692307692,65,158,Qualify alternate suppliers for critical parts,High,Multiple critical parts are exposed and the affected parts are single-source.
SUP033,10,Critical,77.625,7,1,7,16590867.37,801287.6900000001,82.28205128205128,0,763,Initiate supplier corrective action and operational recovery review,High,Elevated blocked quantity or backorder exposure indicates operational disruption.
SUP005,11,High,51.55,6,3,6,11224136.14,7873101.850000001,57.36538461538461,5,188,Qualify alternate suppliers for critical parts,High,Multiple critical parts are exposed and the affected parts are single-source.
SUP021,12,Critical,71.6625,6,2,6,14598403.06,3196500.1,81.27564102564102,2,260,Qualify alternate suppliers for critical parts,High,Multiple critical parts are exposed and the affected parts are single-source.
SUP024,13,Critical,67.075,6,0,6,22738570.290000003,0.0,120.33333333333331,0,350,Review procurement concentration and supply continuity options,Medium,High procurement value is exposed if the supplier becomes unavailable.
SUP039,14,Critical,73.075,4,2,4,9882546.94,7790855.390000001,38.19230769230769,29,63,Qualify alternate suppliers for critical parts,High,Multiple critical parts are exposed and the affected parts are single-source.
SUP002,15,Critical,69.675,6,0,6,12592684.41,0.0,117.78205128205128,1,313,Enhanced supplier monitoring and periodic risk review,Medium,"Supplier is classified as Critical risk, although disruption exposure is comparatively lower."
SUP015,16,Critical,67.2,7,4,7,5485655.31,3977652.2,50.82692307692308,7,112,Qualify alternate suppliers for critical parts,High,Multiple critical parts are exposed and the affected parts are single-source.
SUP026,17,High,64.175,7,0,7,10712043.84,0.0,92.9102564102564,0,320,Routine supplier monitoring,Low,No dominant disruption driver identified relative to the other suppliers.
SUP018,18,High,62.6625,6,1,6,6740532.529999999,438062.94,80.43589743589743,19,214,Routine supplier monitoring,Low,No dominant disruption driver identified relative to the other suppliers.
SUP009,19,High,66.875,5,0,5,8884349.399999999,0.0,92.6474358974359,8,165,Routine supplier monitoring,Low,No dominant disruption driver identified relative to the other suppliers.
SUP023,20,Critical,80.225,4,2,4,4640540.32,4048573.44,35.09615384615385,0,113,Qualify alternate suppliers for critical parts,High,Multiple critical parts are exposed and the affected parts are single-source.
